Номер проектный,living room,room 1,room 2,bath,dressing room,stairs,bath 2,dressing room 2,Этаж,Тип планировки
2203,"20,2","9,3",,"4,5",,,,,22,1К-Е-1/л/в
2204,"19,7",,,"3,5",,,,,22,Ст-1/п/в
2205,"22,3",,,"4,6",,,,,22,Ст-1/л/в
2206,"22,3",,,"4,6",,,,,22,Ст-1/п/в
2207,"20,5",,,"3,8",,,,,22,Ст-1/л/в
2208,"20,5",,,"3,8",,,,,22,Ст-1/п/в
670,"25,6",,,"4,5",,,,,6,Ст-2/в
2210,"23,0","9,7",,"4,2",,,,,22,1К-Е-2/в
2211,"21,0",,,"4,3","2,0",,,,22,Кф-1/в
2212,"25,5","9,7",,"4,3","3,1",,,,22,1К-Е-5/в
2313,"25,6",,,"4,5",,,,,23,Ст-2/в
2314,"25,2",,,"4,6",,,,,23,Ст-3/в
2315,"22,9",,,"3,6",,,,,23,Ст-4/в
2316,"19,2",,,"4,4",,,,,23,Ст-5/в
2317,"20,6",,,"3,8",,,,,23,Ст-6/в
2301,"22,3","11,1","12,8","4,8","3,1",,,,23,2К-1/в
2302,"21,1","9,4",,"4,6",,,,,23,1К-Е-1/п/в
2303,"20,2","9,3",,"4,6",,,,,23,1К-Е-1/л/в
2304,"19,7",,,"3,5",,,,,23,Ст-1/п/в
2305,"22,3",,,"4,5",,,,,23,Ст-1/л/в
2306,"22,3",,,"4,6",,,,,23,Ст-1/п/в
2307,"20,5",,,"3,8",,,,,23,Ст-1/л/в
2308,"20,5",,,"3,8",,,,,23,Ст-1/п/в
2309,"21,9","15,4","15,2","6,0",,,,,23,2К-2/в
2310,"22,9","9,7",,"4,3",,,,,23,1К-Е-2/в
2311,"21,0",,,"4,3","2,0",,,,23,Кф-1/в
2312,"25,5","9,7",,"4,2","3,0",,,,23,1К-Е-5/в
2413,"25,6",,,"4,6",,,,,24,Ст-2/в
2414,"25,2",,,"4,5",,,,,24,Ст-3/в
2415,"22,9",,,"3,7",,,,,24,Ст-4/в
2416,"19,5",,,"4,4",,,,,24,Ст-5/в
2417,"20,6",,,"3,8",,,,,24,Ст-6/в
2401,"22,3","11,1","12,8","4,8","3,1",,,,24,2К-1/в
2402,"21,1","9,4",,"4,6",,,,,24,1К-Е-1/п/в
2403,"20,2","9,3",,"4,5",,,,,24,1К-Е-1/л/в
2404,"19,7",,,"3,5",,,,,24,Ст-1/п/в
2405,"22,3",,,"4,5",,,,,24,Ст-1/л/в
2406,"22,3",,,"4,6",,,,,24,Ст-1/п/в
2407,"20,4",,,"3,8",,,,,24,Ст-1/л/в
2408,"20,5",,,"3,8",,,,,24,Ст-1/п/в
371,"25,3",,,"4,9",,,,,3,Ст-3
2410,"22,9","9,7",,"4,3",,,,,24,1К-Е-2/в
2411,"21,0",,,"4,3","2,0",,,,24,Кф-1/в
2412,"25,5","9,7",,"4,2","3,0",,,,24,1К-Е-5/в
2513,"25,6",,,"4,5",,,,,25,Ст-2/в
2514,"25,2",,,"4,6",,,,,25,Ст-3/в
2515,"22,9",,,"3,7",,,,,25,Ст-4/в
2516,"19,4",,,"4,4",,,,,25,Ст-5/в
2517,"20,6",,,"3,8",,,,,25,Ст-6/в
2501,"22,3","11,1","12,8","4,8","3,1",,,,25,2К-1/в
2502,"21,1","9,4",,"4,6",,,,,25,1К-Е-1/п/в
2503,"20,2","9,2",,"4,6",,,,,25,1К-Е-1/л/в
2504,"19,7",,,"3,5",,,,,25,Ст-1/п/в
2505,"22,4",,,"4,6",,,,,25,Ст-1/л/в
2506,"22,3",,,"4,6",,,,,25,Ст-1/п/в
2507,"20,5",,,"3,8",,,,,25,Ст-1/л/в
2508,"20,5",,,"3,8",,,,,25,Ст-1/п/в
2509,"21,8","15,3","15,2","6,0",,,,,25,2К-2/в
2510,"22,9","9,7",,"4,2",,,,,25,1К-Е-2/в
2511,"21,1",,,"4,3","2,0",,,,25,Кф-1/в
571,"25,0",,,"4,5",,,,,5,Ст-3/в
2613,"25,6",,,"4,5",,,,,26,Ст-2/в
2614,"25,2",,,"4,5",,,,,26,Ст-3/в
2615,"22,9",,,"3,7",,,,,26,Ст-4/в
2616,"19,4",,,"4,4",,,,,26,Ст-5/в
2617,"20,7",,,"3,8",,,,,26,Ст-6/в
2601,"22,4","11,1","12,8","4,8","3,1",,,,26,2К-1/в
2602,"21,1","9,4",,"4,6",,,,,26,1К-Е-1/п/в
2603,"20,2","9,3",,"4,5",,,,,26,1К-Е-1/л/в
2604,"19,7",,,"3,5",,,,,26,Ст-1/п/в
2605,"22,4",,,"4,6",,,,,26,Ст-1/л/в
2606,"22,3",,,"4,5",,,,,26,Ст-1/п/в
2607,"20,4",,,"3,9",,,,,26,Ст-1/л/в
2608,"20,5",,,"3,8",,,,,26,Ст-1/п/в
2609,"21,9","15,3","15,2","6,0",,,,,26,2К-2/в
2610,"22,8","9,7",,"4,2",,,,,26,1К-Е-2/в
2611,"21,2",,,"4,2","2,0",,,,26,Кф-1/в
2612,"25,5","9,7",,"4,3","3,0",,,,26,1К-Е-5/в
2713,"25,6",,,"4,6",,,,,27,Ст-2/в
2714,"25,3",,,"4,5",,,,,27,Ст-3/в
2715,"22,9",,,"3,7",,,,,27,Ст-4/в
2716,"19,4",,,"4,4",,,,,27,Ст-5/в
2717,"20,7",,,"3,8",,,,,27,Ст-6/в
2701,"22,3","11,1","12,8","4,8","3,1",,,,27,2К-1/в
2702,"21,1","9,4",,"4,6",,,,,27,1К-Е-1/п/в
2703,"20,1","9,2",,"4,6",,,,,27,1К-Е-1/л/в
2704,"19,7",,,"3,5",,,,,27,Ст-1/п/в
2705,"22,4",,,"4,5",,,,,27,Ст-1/л/в
2706,"22,4",,,"4,6",,,,,27,Ст-1/п/в
2707,"20,4",,,"3,8",,,,,27,Ст-1/л/в
2708,"20,5",,,"3,8",,,,,27,Ст-1/п/в
2709,"21,9","15,3","15,2","6,0",,,,,27,2К-2/в
2710,"22,9","9,7",,"4,3",,,,,27,1К-Е-2/в
2711,"21,1",,,"4,3","2,0",,,,27,Кф-1/в
671,"25,1",,,"4,5",,,,,6,Ст-3/в
2813,"25,6",,,"4,6",,,,,28,Ст-2/в
2814,"25,3",,,"4,5",,,,,28,Ст-3/в
2815,"22,8",,,"3,7",,,,,28,Ст-4/в
2816,"19,3",,,"4,4",,,,,28,Ст-5/в
2817,"20,6",,,"3,8",,,,,28,Ст-6/в
2801,"22,2","11,1","12,9","4,8","3,1",,,,28,2К-1/в
2802,"21,1","9,4",,"4,6",,,,,28,1К-Е-1/п/в
2803,"20,2","9,3",,"4,5",,,,,28,1К-Е-1/л/в
2804,"19,7",,,"3,5",,,,,28,Ст-1/п/в
2805,"22,3",,,"4,6",,,,,28,Ст-1/л/в
2806,"22,3",,,"4,6",,,,,28,Ст-1/п/в
2807,"20,5",,,"3,8",,,,,28,Ст-1/л/в
2808,"20,6",,,"3,8",,,,,28,Ст-1/п/в
2809,"21,9","15,3","15,2","6,0",,,,,28,2К-2/в
2810,"22,9","9,7",,"4,3",,,,,28,1К-Е-2/в
2811,"21,0",,,"4,3","2,0",,,,28,Кф-1/в
672,"22,8",,,"3,6",,,,,6,Ст-4/в
2911,"25,6",,,"4,5",,,,,29,Ст-2/в
2912,"25,2",,,"4,6",,,,,29,Ст-3/в
2913,"22,9",,,"3,7",,,,,29,Ст-4/в
2914,"19,3",,,"4,4",,,,,29,Ст-5/в
2915,"20,6",,,"3,8",,,,,29,Ст-6/в
2901,"22,4","11,1","12,9","4,8","3,1",,,,29,2К-1/в
2902,"21,1","9,4",,"4,6",,,,,29,1К-Е-1/п/в
2903,"20,1","9,3",,"4,5",,,,,29,1К-Е-1/л/в
2904,"19,7",,,"3,5",,,,,29,Ст-1/п/в
2905,"22,4",,,"4,6",,,,,29,Ст-1/л/в
2906,"22,3",,,"4,6",,,,,29,Ст-1/п/в
2907,"25,9","14,1",,"4,3",,,"4,8",,29,0
2908,"22,0","15,2","15,2","6,0",,,,,29,2К-2/в
2909,"22,9","9,7",,"4,3",,,,,29,1К-Е-2/в
2910,"21,1",,,"4,2","2,0",,,,29,Кф-1/в
2910-2,"25,5","9,7",,"4,3","3,1",,,,29,0
